andar,anunciante,anuncio,area,atualizacao,bairro,banheiro,caracteristica,cep,codigo,condominio,data,descricao,endereco,imagem,imagemlista,latitude,longitude,municipio,preco,quarto,siteorigem,suite,telefone,tipologia,titulo,uf,url,urlmapa,vaga
,Sônia Cardoso Leal,,377,,Centro,,,,2474481975,,2020-03-26," Excelente terreno localizado no Centro de Florianópolis. total 376,90 m², frente para rua General Bittencourt, com 15,885 m² , esquina com Avenida Mauro Ramos, 19,279 m² frente, com viabilidade para construção multi familiar e comercial.  Terreno todo murado e locado para estacionamento com opção de comprador. Escritura pública. ",Rua General Bittencourt,,https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/561348bb1ec37ec409ee1606be2a112c.jpg; https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/93f88d86f83ae64ea6a0bff146365c3d.jpg,-27.599001,-48.548167,Florianópolis,2200000,,Viva Real,,8/9/5/4/6,Terreno,"Terreno com 376,90 m² , frente para 2 ruas, General Bittencourt e Avenida Mauro Ramos",SC,http://www.vivareal.com.br/imovel/lote-terreno-centro-bairros-florianopolis-377m2-venda-RS2200000-id-2474481975/,"https://www.google.com/maps/search/?api=1&query=-27.599001,-48.548167",
,Hot Imobiliária,,270,,Pântano do Sul,,,,2463886129,,2020-03-26," Excelente terreno com 270m² de área total, localizado em rua calçada com ótima vizinhança, ideal para quem procura viver rodeado por natureza em região privilegiada próximo ao comércio local, das demais praias do Sul da Ilha, além do fácil acesso ao Aeroporto e Centro da cidade.  Agende hoje mesmo sua visita! Contato: /  Bruno Rogers CRECI - 31353 Outras oportunidades acesse: www.hotimobiliaria.com.br ",,,https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/fc2d28b002b968175411065ed5c070d5.jpg; https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/4a09db9e50a3e5c1ceed5b9fba9fc286.jpg,-27.762714,-48.511476,Florianópolis,170000,,Viva Real,,8/0/7/5/4/6/3,Venda ,Terreno a venda na Armação do Pântano do Sul,SC,http://www.vivareal.com.br/imovel/lote-terreno-armacao-do-pantano-do-sul-bairros-florianopolis-270m2-venda-RS170000-id-2463886129/,"https://www.google.com/maps/search/?api=1&query=-27.762714,-48.511476",
,Imobiliária Santo Antônio,,53000,,Santo Antonio de Lisboa,,,,2445167497,,2020-03-26," Amplo terreno com 53mil m² com escritura pública, ótimo para quem pensa em investir na região de Santo Antônio de Lisboa, um dos bairros mais charmosos de Florianópolis, pela sua característica açoriana, gastronomia deliciosa, e um por do sol maravilhoso! Excelente para rede hoteleira, terreno próximo a SC 401, á 10 minutos das melhores praias de Florianópolis como, Jurerê Internacional, Daniela e Canasvieiras. E á 15 minutos do centro Florianópolis. Para apreciar este lindo imóvel veja nosso vídeo no YouTube e agende uma visita sem compromisso.  ",,,https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/de384374bfc1bb2951ff5d1fec8b3418.jpg; https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/89e0dd6f733403d4f8cdf0a5ee3f569b.jpg,-27.501148,-48.51621,Florianópolis,5500000,,Viva Real,,1/8/2/7/4/3,Venda ,"TERRENO COMERCIAL em Florianópolis - SC, Santo Antonio de Lisboa",SC,http://www.vivareal.com.br/imovel/lote-terreno-santo-antonio-de-lisboa-bairros-florianopolis-53000m2-venda-RS5500000-id-2445167497/,"https://www.google.com/maps/search/?api=1&query=-27.501148,-48.51621",
,Hot Imobiliária,,450,,Campeche Central,,,,2463885272,,2020-03-26," Lindo terreno com 450m² de área total, sendo 15 metros de frente por 30 metros de lateral, murado nos dois lados e aterrado, possui viabilidade para até 03 casas, localizado em rua calçada residencial, próximo ao comercio local, das lindas praias do Sul da Ilha, além do fácil acesso ao Aeroporto e Centro da cidade. Agende hoje mesmo sua visita! Contato: /  Marcela Santoro CRECI - 25427 Outras oportunidades acesse: www.hoyimobiliaria.com.br ",,,https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/c4d3cb125e0a951f45efdc88348a4ca4.jpg; https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/12c0306c7a0deaa0e9c10672f6d9d668.jpg,-27.671016,-48.506306,Florianópolis,320000,,Viva Real,,8/0/7/5/4/6/3,Venda ,Terreno a venda no Campeche,SC,http://www.vivareal.com.br/imovel/lote-terreno-campeche-bairros-florianopolis-450m2-venda-RS320000-id-2463885272/,"https://www.google.com/maps/search/?api=1&query=-27.671016,-48.506306",
,CR Imóveis Ltda - EPP,,322,,Barra da Lagoa,,,,2477179478,,2020-03-26," Pousada à venda na Barra da Lagoa em Florianópolis, com uma área total de terreno de 465 m² e uma área construída de 322 m².  Apresenta 07 apartamentos, sendo:  - 1 apartamento com suíte;  - 3 apartamentos com 2 dormitórios; - 3 apartamentos de 1 dormitório;  Pousada com uma estrutura de quartos muito bem distribuída, com pátio para estacionamento e vagas de garagem coberta. Todos os apartamentos são mobiliados. Localização privilegiada, com acesso às melhores praias do Leste e Sul da ilha.  A pousada apresenta ainda: Área social, Cozinha, Recepção, Lavanderia montada. Características do imóvel Água Encanada Energia Elétrica Murado Rede de Esgoto Mais informações em www.crimoveisvendas.com.br ",Servidão José Francisco dos Santos Filho,,https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/59ee9000e00f56e9c18bcf7c9b008d87.jpg; https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/a01f668cf9d67eb10e2b22ed75319c1b.jpg,-27.574089,-48.431267,Florianópolis,1300000,,Viva Real,,3/0/4/8,Pousada,Pousada com 7 apartamentos°Serv.José F.dos Santos°Barra da lagoa°Fpolis,SC,http://www.vivareal.com.br/imovel/lote-terreno-barra-da-lagoa-bairros-florianopolis-322m2-venda-RS1300000-id-2477179478/,"https://www.google.com/maps/search/?api=1&query=-27.574089,-48.431267",
,Unil - União Nacional de Imóveis,,906,,João Paulo,,,,79888057,,2020-03-26," Ser feliz é uma escolha. Escolha morar no João Paulo e tenha a sensação de que o paraíso é aqui. A melhor localização da cidade para quem deseja um espaço exclusivo, mas não pode abrir mão de morar próximo ao centro da cidade.  O terreno de 906 m2 podem ser exclusivos para o seu bem-estar ou uma oportunidade de negócio imperdível (Terreno c/viabilidade construção de condomínio de até 04 casas tipo Townhouse de 2 pavimentos). É a certeza de morar no espaço mais exclusivo da cidade, com todo conforto e segurança que sua família e você merecem.  Agende uma visita e comece hoje mesmo a realizar seus sonhos!  Corretor de Plantão! ",Rua Professor Salvio Guilhon Gonzaga,,https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/5c9e99854156f90364078c43c5bb8e6d.jpg; https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/2f9aa250be21c13e43bf6daaae327014.jpg,-27.55475,-48.507416,Florianópolis,1300000,,Viva Real,,1/8/2/9/0/4/3,Venda ,FLORIANóPOLIS - Terreno Padrão - João Paulo,SC,http://www.vivareal.com.br/imovel/lote-terreno-joao-paulo-bairros-florianopolis-906m2-venda-RS1300000-id-79888057/,"https://www.google.com/maps/search/?api=1&query=-27.55475,-48.507416",
,VERSATTI INVESTIMENTOS IMOBILIARIOS LTDA,,360,,Daniela,,,,2475083500,,2020-03-26," Lote com escritura publica, plano, murado, em rua calçada e arborizada, em uma das melhores ruas do balneário Daniela, ao lado de Jurerê e Jurerê Internacional. Venha viver essa experiencia de morar na praia. Estuda permuta e propostas! ENTRE EM CONTATO, ESCLAREÇA SUAS DUVIDAS E FAÇA UMA PROPOSTA! LIGUE AGORA PARA O NOSSO PLANTÃO E AGENDE JÁ UMA VISITA! - CRECI 30764 www.versatiimoveis.com.br ",Avenida das Paineiras,,https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/4c5cfac58f6e76278b285d54305ab80e.jpg; https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/010a564f188d0e951fb56511704316b1.jpg,-27.448248,-48.524649,Florianópolis,400000,,Viva Real,,8/0/7/5/4/6/3,Venda ,FLORIANóPOLIS - Terreno Padrão - Daniela,SC,http://www.vivareal.com.br/imovel/lote-terreno-daniela-bairros-florianopolis-360m2-venda-RS400000-id-2475083500/,"https://www.google.com/maps/search/?api=1&query=-27.448248,-48.524649",
,Ivan Alcântara,,1267,,Capoeiras,,,,2476202578,,2020-03-26," Terreno na Avenida Governador Ivo Silveira (ao lado do Angeloni) - Capoeiras - Florianópolis.  Com 1.267 m² e VIABILIDADE PARA 12 PAVIMENTOS ÓTIMA LOCALIZAÇÃO para empreendimento residencial, comercial ou misto.  Extremante com o Angeloni de Capoeiras e Reunidas  Possui 26,41 metros de frente para Avenida Governador Ivo Silveira  Muito próximo à BR 282 (Via expressa) 3,5 Km da BR 101. ","Avenida Governador Ivo Silveira, 2445",,https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/a963ae8867ae9cdbc2e6b0d3c41d3fcc.jpg; https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/c3ab6954489641abc23369f492936901.jpg,-27.601024,-48.596456,Florianópolis,4200000,,Viva Real,,8/9/7/4/6/3,Venda ,Terreno na Av. Gov. Ivo Silveira (Ao lado do Angeloni) - Área: 1.267m² - VIABILIDADE: 12 PAVIMENTOS,SC,http://www.vivareal.com.br/imovel/lote-terreno-capoeiras-bairros-florianopolis-1267m2-venda-RS4200000-id-2476202578/,"https://www.google.com/maps/search/?api=1&query=-27.601024,-48.596456",
,Pense Imoveis,,367,,Vargem Grande,,,,2475741582,,2020-03-26," Terreno na Vargem Grande em excelente localização, com casas de médio e alto padrão. Área em plena expansão. Aceita financiamento. Consulte-nos sobre a disponibilidade e as informações do imóvel anunciado. Valores sujeitos a alteração. ",,,https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/875624716e62c95005cca31cd0aaa817.jpg; https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/6fd5d4eee56aac90d3a6b918d4a8a6be.jpg,-27.460336,-48.44996,Florianópolis,195000,,Viva Real,,8/2/9/7/4,Venda ,FLORIANóPOLIS - Terreno Padrão - Vargem Grande,SC,http://www.vivareal.com.br/imovel/lote-terreno-vargem-grande-bairros-florianopolis-367m2-venda-RS195000-id-2475741582/,"https://www.google.com/maps/search/?api=1&query=-27.460336,-48.44996",
,AAN ENGENHARIA & CONSULTORIA IMOBILIARIA LTDA,,20000,,Canasvieiras,,,,2461750682,,2020-03-26," Terreno terraplanado, com 20.000 m² , 92,60 metros de frente para a SC 401 em Santo Antonio de Lisboa, sentido Centro da cidade. Viabilidade AMC 3.5 Projeto Comercial a frente e Residencial atrás ","Rodovia José Carlos Daux, 15500",,https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/c9a8127e168d0bd188f19f745d6d4532.jpg; https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/bf1b340d49207ebe415b1fee9a905505.jpg,-27.465276,-48.462362,Florianópolis,15000000,,Viva Real,,1/8/9/0/4,Terreno,Terreno com viabilidade comercial e residencial na SC 401,SC,http://www.vivareal.com.br/imovel/lote-terreno-canasvieiras-bairros-florianopolis-20000m2-venda-RS15000000-id-2461750682/,"https://www.google.com/maps/search/?api=1&query=-27.465276,-48.462362",
