andar;anunciante;anuncio;area;atualizacao;bairro;banheiro;caracteristica;cep;codigo;condominio;data;descricao;endereco;imagem;imagemlista;y;x;municipio;preco;quarto;siteorigem;suite;telefone;tipologia;titulo;uf;url;urlmapa;vaga
;;COD. 1857;762;;Cacupé;;;;2442902403;;04/05/2019;" No Vivá Residence Cacupé, o compromisso com a sustentabilidade e a preservação do meio ambiente são essenciais na integração do homem com a natureza, essa forma de agir e empreender faz a diferença na construção de uma vida melhor hoje e no futuro. Aqui, todo o cabeamento é subterrâneo, pois lugar de passarinho é nas árvores. Pista de Skate Quadra de Tênis Praça do Fogo Horta Espaço Vivá. Play Kids Pet Place. Pier Cacupé faz parte do distrito de Santo Antônio de Lisboa, um lugar histórico, ainda preservado e bucólico da Ilha de Santa Catarina. Fácil acesso, próximo à SC-401, shoppings, centros empresariais e praias do norte da ilha.  A origem tupi-guarani do nome Cacupé significa ""verde por trás dos montes"": definição que traduz a natureza de um dos lugares mais belos de Florianópolis, onde o amanhecer e o pôr do sol são acontecimentos únicos com sua vista para a ponte Hercílio Luz.  É neste lugar, capaz de gerar bem-estar e tranquilidade, que nasce o Vivá - termo em tupi-guarani que significa ""forte como a natureza"", um condomínio onde a natureza é muito mais do que uma bela vista na janela, é a essência para se viver com mais qualidade de vida. Com 99 mil m², 50% é área verde preservada, o Vivá Residence Cacupé integra com equilíbrio tudo o que você precisa para viver o melhor de Florianópolis. ";Estrada Haroldo Soares Glavan;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/e78ca2a8afe8c9ad33066ddef13c2c14.jpg;-27.534.882;-48.526.024;Florianópolis;1100000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-cacupe-bairros-florianopolis-762m2-venda-RS1100000-id-2442902403/;https://www.google.com/maps/search/?api=1&query=-27.534882,-48.526024;
;;COD. HI71818;200;;Rio Tavares;;;;2442459983;;04/05/2019; Excelente terreno plano e já limpo com 200m² de área total, sendo 10m² de frente e 20m² de fundos, próximo ao comércio local, das lindas prais do Sul da Ilha, além do fácil acesso ao Aeroporto e Centro da cidade. Ideal para quem procura investir em rua tranquila e urbanizada rodeada por muita natureza! Agende hoje mesmo sua visita! Contato: /  Outras oportunidades acesse: www.hotimobiliaria.com.br ;Servidão Hipólito Bernardino das Chagas;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/d2c3344a6468b3546b77d6b3f3805bae.jpg;-27.661.468;-48.484.107;Florianópolis;220000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-rio-tavares-bairros-florianopolis-200m2-venda-RS220000-id-2442459983/;https://www.google.com/maps/search/?api=1&query=-27.661468,-48.484107;
;;COD. 102;;;Cacupé;;;;51091367;;04/05/2019; Venha viver como poucos, em um exclusivo empreendimento náutico-habitacional do mais alto padrão, com Clube Náutico Prive e trapiche fixo com deck flutuante projetado pelo navegador mundialmente conhecido Amyr Klink. Um empreendimento de alta qualidade ambiental, implantado em uma área de 82.000 m², sendo mais de 60% destinados a preservação ambiental, exclusiva para somente 18 residências totalmente integradas a topografia local. O St Barth Residence está localizado numa região de plena ascensão e valorização: Cacupé, um bairro nobre e tranqüilo da costa oeste da ilha de Florianópolis, situado a 12 km do centro e 20 km do aeroporto. A sua frente fica uma baia de águas calmas e cristalinas onde se pode contemplar a beleza das cores e a musica do mar. Logo ao lado, os charmosos vilarejos de Santo Antonio de Lisboa e Sambaqui, exibem seu patrimônio histórico de arquitetura açoriana ao longo da orla. Sua valorização se deve a sua natureza e beleza cênica aliada e localização estratégica. Próxima do centro da cidade, do aeroporto e das praias bem frequentadas do norte, entre as quais esta Jurerê Internacional, e da bela Lagoa da Conceição. O Lote 2 e seguramente o melhor terreno disponível a venda no St Barth Residence. Possui uma área privada de 1700 m² com uma vista panorâmica incomparável para o mar, desde a ponte Hercílio Luz as Ilhas de Ratones, e um por do sol de tirar o fôlego. Devido sua posição privilegiada, permitiu que o arquiteto explorasse sua altitude e a proximidade do mar, trazendo uma experiência única em qualquer uma das áreas, externa ou interna, garantindo a mais alta privacidade para sua família. Convenientemente, Lote 2 já traz o projeto de uma belíssima casa de arquitetura contemporânea e design arrojado.  Para maiores informações visite o site www.stbarthresidence.com.br ;Estrada Haroldo Soares Glavan;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/daa9c78d8827fd64214cedbca22ae126.jpg;-27.534.882;-48.526.024;Florianópolis;2500000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-cacupe-bairros-florianopolis-4527m2-venda-RS2500000-id-51091367/;https://www.google.com/maps/search/?api=1&query=-27.534882,-48.526024;
;;COD. 8055;455;;São João do Rio Vermelho;;;;90513209;;04/05/2019; Terreno à venda no Rio Vermelho, 454,95m². Com acesso pela Rod. João Gualberto Soares. Ótima localização, bairro tranquilo e com boa estrutura, contando com supermercados, lojas e etc... Nossos corretores estão de plantão 24 horas. Agende sua visita e conheça seu novo imóvel! Temos diversos imóveis para atender a sua expectativa, encontrando a melhor opção para o seu perfil. ;Rua Moinho Rio Vermelho, 42;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/e4bd2fb8359550f84e6f0fa3207cb018.jpg;-27.485.514;-48.415.829;Florianópolis;200000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-sao-joao-do-rio-vermelho-bairros-florianopolis-455m2-venda-RS200000-id-90513209/;https://www.google.com/maps/search/?api=1&query=-27.485514,-48.415829;
;;COD. 29-IM342237;50083;;Vargem Grande;;;;2440743722;;04/05/2019; Terreno plano para loteamento com 50.083,20m2 sendo o mesmo curvo com região extensa seguindo a estrada municipal da Vargem Grande, distante apenas 500m da Igreja local. Possui fontes de água, lago e verde. Ótimo para investidores, construtores. Distância ao Centro de Florianópolis: 25 km. Distância para Jurerê: 14 km. ;Estrada Cristóvão Machado de Campos;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/993312bb8b67c5203b34183cc36f14f1.jpg;-27.461.484;-48.449.788;Florianópolis;4700000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-vargem-grande-bairros-florianopolis-50083m2-venda-RS4700000-id-2440743722/;https://www.google.com/maps/search/?api=1&query=-27.461484,-48.449788;
;;COD. T78;400;;Santo Antônio de Lisboa;;;;85704854;;04/05/2019; Terreno de 9.227 m na SC 401 - Florianópolis/SC Em Santo Antônio de Lisboa - Florianópolis/SC A área é constituída por 3 terrenos. Dois terrenos de frente para a Rodovia José Carlos Daux (SC 401), um com 25m de frente e 110m de fundos e outro de 39m de frente e 110m de fundos, neste há uma casa com 2 pavimentos de 250m, um galpão e a casa do caseiro com 120m. E um terreno com frente para a Estrada Caminho dos Açores com 19,5m de frente e 110m de fundos. Possui viabilidade comercial ou residencial na área mista de serviço. Há possibilidade de venda fracionada da área, ou seja, é possível adquirir os dois terrenos voltados para a SC 401, que totaliza a área de 7.082,66m ou apenas o terreno voltado para a Estrada Caminho dos Açores com 2.145m. - OBSERVAÇÕES: PREÇO ESPECIAL PARA PAGAMENTO À VISTA!!!R$ 12.500.000,00 - PONTOS FORTES: A SC 401 além de ser o caminho para as praias do Norte da Ilha de Florianópolis, os seus arredores tornaram-se locais propícios para negócios. Nos últimos 10 anos , os 19,7 quilômetros da Rodovia receberam grandes empreendimentos. Uma explosão imobiliária fez o Norte da Ilha se tornar um ambiente de moradia e trabalho, além de ser um destino de veraneio. Aproximadamente, mais de 60 mil motoristas, chegando em 100 mil no verão, trafegam diariamente na SC 401, que foi completamente duplicada.  ;Rodovia José Carlos Daux, 7049;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/b475b2a392b351805bd26cf044b9ef5e.jpg;-27.521.829;-48.514.861;Florianópolis;12000015;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-santo-antonio-de-lisboa-bairros-florianopolis-400m2-venda-RS12000015-id-85704854/;https://www.google.com/maps/search/?api=1&query=-27.521829,-48.514861;
;;COD. 6475;;;Capoeiras;;;;94869880;;04/05/2019; DESCRIÇÃO: Ótimo terreno para investimento, a menos de 100 metros da Av. Ivo Silveira. Terreno tem entrada por duas ruas, podendo ser feito desmembramento. Excelente Terreno com viabilidade para construção de edifício. Obs.: frente 13,20 e fundos 39,25 ;;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/9d7a68d8adfa7af5ce6f8bcf8f05e6bb.jpg;-27.600.287;-48.590.618;Florianópolis;480000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-capoeiras-bairros-florianopolis-518m2-venda-RS480000-id-94869880/;https://www.google.com/maps/search/?api=1&query=-27.600287,-48.590618;
;;COD. 1370400;;;Armação do Pântano do Sul;;;;93416462;;04/05/2019; Terreno na Armação do Pântano do Sul com 270,00 m2 (15x 18), ótima localização em rua sem saída, próximo a supermercado, ponto de ônibus, escola, academiae comércio em geral. ;;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/7216ee6ea109df56b125960b7a27973c.jpg;;;Florianópolis;160000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-armacao-do-pantano-do-sul-bairros-florianopolis-venda-RS160000-id-93416462/;;
;;COD. 8052;510;;Santo Antônio de Lisboa;;;;90513214;;04/05/2019; Terreno à venda em condomínio fechado em Santo Antônio de Lisboa, 509,90m². Com acesso pelo Caminho dos Açores, bairro Cacupé e a Rod SC 401.  Ótima localização, próximo ao centro Histórico de Santo Antônio e restaurantes. Nossos corretores estão de plantão 24 horas. Agende sua visita e conheça seu novo imóvel! Temos diversos imóveis para atender a sua expectativa, encontrando a melhor opção para o seu perfil. ;Estrada Caminho dos Açores, 757;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/b5cc0cb6bf8c52e435c255ddaf47ffa2.jpg;-27.523.746;-48.517.247;Florianópolis;500000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-santo-antonio-de-lisboa-bairros-florianopolis-510m2-venda-RS500000-id-90513214/;https://www.google.com/maps/search/?api=1&query=-27.523746,-48.517247;
;;COD. 416;;;Cachoeira do Bom Jesus;;;;90887639;;04/05/2019; Magnifica oferta ,Oliveira Costa empreendimentos imobiliários conta com o maior cadastro de imóveis a venda do norte da ilha . Ótimo terreno em condomínio na cachoeira do bom jesus com 500 m² por 20x25 bem localizado e com escritura pública. ;;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/e6113e086aeef26b0d49fa5464ccf8dd.jpg;-27.434.823;-48.421.953;Florianópolis;215000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-cachoeira-do-bom-jesus-bairros-florianopolis-500m2-venda-RS215000-id-90887639/;https://www.google.com/maps/search/?api=1&query=-27.434823,-48.421953;
;;COD. TE00010;2258;;Campeche;;;;1041357757;;04/05/2019; TERRENO A VENDA EM FRENTE A SC 405 Localizadas ao lado do CHINA BRASIL e da PIZZARIA ESTRELA Apenas 1.200m dos NOVOS ACESSOS para o NOVO AEROPORTO INTERNACIONAL e para o CENTRO DA CIDADE, e ambas as ÁREAS com Escritura Pública  ÁREA n° 2 : 2,258,30 m²: VALOR: R$ 2.200.000,00 ÁREA n° 3 : 2,258,30 m²: VALOR: R$ 2.600.000,00 (25,92 Frente e Fundos x 90,33)   PLANTA DA ÁREAS COMERCIAIS n° 2 e 3 (Área 4 = Casa CHINA BRASIL / Área 5 = Pizzaria Estrela )  ;Rodovia Aparício Ramos Cordeiro, 1;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/de917bd9ced8fd426aaefacef4f8eb42.jpg;-27.682.678;-48.510.094;Florianópolis;2199002;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-campeche-bairros-florianopolis-2258m2-venda-RS2199002-id-1041357757/;https://www.google.com/maps/search/?api=1&query=-27.682678,-48.510094;
;;COD. TE00086;437;;Ingleses do Rio Vermelho;;;;1042242230;;04/05/2019; ATENÇÃO CONSTRUTORES!!! Vende-se ótimo terreno!!! Medindo 24 metros de frente x 19 metros de fundo, fazendo um total de 437 M². Localização muito boa, perto de comercio em geral, local muito tranquilo.  Viabilidade para 2 pavimentos! No terreno há uma casa de 3 quartos, 2 banheiros, edicula com churrasqueira, sala, cozinha e mais um apartamento no fundo (alugado). Agende uma visita com um de nossos profissionais pelos fones abaixo: Escritório:  Maximiliano Borgonovo - Creci: 34338 F - Fone:  Cristina de Oliveira - Creci: 31357 F - Fone:   ;Rodovia Armando Calil Bulos;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/13b6fa620666973d6f46bda1379734c2.jpg;-2.743.833;-48.408.435;Florianópolis;339900;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-ingleses-do-rio-vermelho-bairros-florianopolis-437m2-venda-RS339900-id-1042242230/;https://www.google.com/maps/search/?api=1&query=-27.43833,-48.408435;
;;COD. 3750E;400;;Ratones;;;;2019655478;;04/05/2019; Lote de 400m² em condomínio fechado no bairro Ratones, Florianópolis. Condomínio com ampla infraestrutura de lazer. A Imobiliária Porto Seguro é uma empresa jovem e dinâmica que atua no mercado imobiliário da grande Florianópolis desde 1992. Nossa estrutura física conta com uma área construída de 390m² e fica localizada no Centro de Florianópolis, na Rua Doutor Armínio Tavares n. 123, a uma quadra da Beira Mar Norte e muito próximo do tradicional Colégio Catarinense. Criada para ocupar uma lacuna deixada no mercado, no que se refere a diferencial no atendimento e comprometimento com os objetivos de clientes e colaboradores, a IMOBILIÁRIA PORTO SEGURO nasceu da filosofia que estampa o nosso slogan: TRANSFORMAR CLIENTES EM VERDADEIROS AMIGOS. ;Rua Intendente Antônio Damasco, 1600;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/b3a5cfcc20d45c22c088e378c61ee065.jpg;-27.497.625;-48.492.029;Florianópolis;400000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-ratones-bairros-florianopolis-400m2-venda-RS400000-id-2019655478/;https://www.google.com/maps/search/?api=1&query=-27.497625,-48.492029;
;;COD. T78;400;;Santo Antônio de Lisboa;;;;85704854;;04/05/2019; Terreno de 9.227 m na SC 401 - Florianópolis/SC Em Santo Antônio de Lisboa - Florianópolis/SC A área é constituída por 3 terrenos. Dois terrenos de frente para a Rodovia José Carlos Daux (SC 401), um com 25m de frente e 110m de fundos e outro de 39m de frente e 110m de fundos, neste há uma casa com 2 pavimentos de 250m, um galpão e a casa do caseiro com 120m. E um terreno com frente para a Estrada Caminho dos Açores com 19,5m de frente e 110m de fundos. Possui viabilidade comercial ou residencial na área mista de serviço. Há possibilidade de venda fracionada da área, ou seja, é possível adquirir os dois terrenos voltados para a SC 401, que totaliza a área de 7.082,66m ou apenas o terreno voltado para a Estrada Caminho dos Açores com 2.145m. - OBSERVAÇÕES: PREÇO ESPECIAL PARA PAGAMENTO À VISTA!!!R$ 12.500.000,00 - PONTOS FORTES: A SC 401 além de ser o caminho para as praias do Norte da Ilha de Florianópolis, os seus arredores tornaram-se locais propícios para negócios. Nos últimos 10 anos , os 19,7 quilômetros da Rodovia receberam grandes empreendimentos. Uma explosão imobiliária fez o Norte da Ilha se tornar um ambiente de moradia e trabalho, além de ser um destino de veraneio. Aproximadamente, mais de 60 mil motoristas, chegando em 100 mil no verão, trafegam diariamente na SC 401, que foi completamente duplicada.  ;Rodovia José Carlos Daux, 7049;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/b475b2a392b351805bd26cf044b9ef5e.jpg;-27.521.829;-48.514.861;Florianópolis;12000015;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-santo-antonio-de-lisboa-bairros-florianopolis-400m2-venda-RS12000015-id-85704854/;https://www.google.com/maps/search/?api=1&query=-27.521829,-48.514861;
;;COD. 1359;;;Cachoeira do Bom Jesus;;;;2443039486;;04/05/2019; Terreno de 20m² x 29,10m² , cercado, rua calçada, com água encanada, luz, com uma bela vista. ;;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/6932581c52a2aab3aed9543743d31ec3.jpg;-27.429.482;-48.424.946;Florianópolis;335000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-cachoeira-do-bom-jesus-bairros-florianopolis-558m2-venda-RS335000-id-2443039486/;https://www.google.com/maps/search/?api=1&query=-27.429482,-48.424946;
;;COD. 29-IM372781;561;;Jurerê Internacional;;;;2436622796;;04/05/2019; Lindo Terreno/lote unifamiliar de esquina à venda em Jurerê Internacional, bem localizado no Amoraeville II, cercado de verde por todos os lados. São 590,69 m2 na região mais segura e sustentável para moradia dentro do Bairro, já com projeto aprovado com alvará de construção. Predominantemente de moradores, o entorno com área verde de preservação permanente, ciclovia, lagos com carpas, play ground e aparelhos de ginástica rústicos, pistas de caminhadas, monitorado por cámeras 24hs. Paisagismo do Benedito Abud, pavimentação com absorção de águas das chuvas, esgoto à vácuo, cabeamento subterrâneo, iluminação diferenciada para carros e pedestres, próximo ainda de tudo o que torna uma vida prática e funcional como academias, studios de pilates, escolas, restaurantes, supermercados, farmácias e etc. Agende uma visita! Entre em contato e fale com um de nossos corretores especializados, estamos prontos para melhor lhes atender. ;Rua dos Carapanás;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/e7134e5d9b2134a1938030baa5db088c.jpg;-2.744.663;-48.498.301;Florianópolis;1100000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-jurere-internacional-bairros-florianopolis-561m2-venda-RS1100000-id-2436622796/;https://www.google.com/maps/search/?api=1&query=-27.44663,-48.498301;
;;COD. 29-IM368353;531;;Córrego Grande;;;;2433468175;;04/05/2019; Excelente terreno com uma bela vista, rua calçada e sem saída, lugar tranquilo, seguro, arborizado. Ótimo local para quem procura tranquilidade e natureza, porem em lugar urbano, bairro nobre e próximo do centro da cidade. Entre em contato e fale com um de nossos corretores. Nossa equipe estará sempre a seu dispor. ;Servidão da Figueira Velha;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/a0fd724f67a4d055cec4573ff94bbe79.jpg;-27.606.179;-48.497.175;Florianópolis;480000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-corrego-grande-bairros-florianopolis-531m2-venda-RS480000-id-2433468175/;https://www.google.com/maps/search/?api=1&query=-27.606179,-48.497175;
;;COD. 244031280;4989;;São João do Rio Vermelho;;;;94384682;;04/05/2019; Vendo excelente terreno com 4989 metros quadrados, tendo Escritura Publica !!! no bairro São João do Rio Vermelho. A apenas 50 mts do Travessao !!! Hoje ja possui um campo de futebol suiço, com vestiario, cozinha, churrasqueira, postes com iluminação! ;Rodovia João Gualberto Soares, 1;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/95065ab1d699a2050c11cd2f82e5a3c4.jpg;-27.439.449;-48.402.313;Florianópolis;1280000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-sao-joao-do-rio-vermelho-bairros-florianopolis-4989m2-venda-RS1280000-id-94384682/;https://www.google.com/maps/search/?api=1&query=-27.439449,-48.402313;
;;COD. 253;;;Itacorubi;;;;2439960678;;04/05/2019; Com acesso direto a Lagoa da Conceição, Córrego Grande e Itacorubi, estrategicamente posicionado este condomínio já consolidado na cidade possui requinte e tranquilidade, além da arquitetura de suas casas traduzirem sofisticação. O terreno murado com 737,13 de área, fazendo frente com 17,99m e lateral com 50,16m - Face Oeste tem excelente vista para área arborizada e para o morro na Lagoa, além de projeto arquitetônico já desenvolvido. O condomínio oferece portão eletrônico, estação de tratamento de água e total segurança. Venha hoje mesmo conhecer!! ;Rua Vera Linhares de Andrade, 2890;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/90b76a56af8e3c1be76875a7062732d2.jpg;-27.594.437;-48.493.818;Florianópolis;800000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-itacorubi-bairros-florianopolis-738m2-venda-RS800000-id-2439960678/;https://www.google.com/maps/search/?api=1&query=-27.594437,-48.493818;
;;COD. 8052;510;;Santo Antônio de Lisboa;;;;90513214;;04/05/2019; Terreno à venda em condomínio fechado em Santo Antônio de Lisboa, 509,90m². Com acesso pelo Caminho dos Açores, bairro Cacupé e a Rod SC 401.  Ótima localização, próximo ao centro Histórico de Santo Antônio e restaurantes. Nossos corretores estão de plantão 24 horas. Agende sua visita e conheça seu novo imóvel! Temos diversos imóveis para atender a sua expectativa, encontrando a melhor opção para o seu perfil. ;Estrada Caminho dos Açores, 757;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/b5cc0cb6bf8c52e435c255ddaf47ffa2.jpg;-27.523.746;-48.517.247;Florianópolis;500000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-santo-antonio-de-lisboa-bairros-florianopolis-510m2-venda-RS500000-id-90513214/;https://www.google.com/maps/search/?api=1&query=-27.523746,-48.517247;
